unifrac_binary	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	C32	G0	G1	G2	G3	G4	G5	GR01	LW1	T1
A0	0	0.269	0.366	0.299	0.305	0.418	0.319	0.376	0.396	0.453	0.785	0.410	0.333	0.473	0.431	0.607	0.570	0.668	0.607	0.623	0.653	0.605	0.274	0.589	0.626	0.587	0.264	0.311	0.313	0.306	0.333	0.336	0.623	0.651	0.589	0.591	0.669	0.554	0.514	0.660	0.608	0.464	0.568
A1	0.269	0	0.327	0.241	0.255	0.384	0.269	0.350	0.367	0.400	0.783	0.387	0.282	0.404	0.373	0.578	0.551	0.638	0.579	0.596	0.642	0.597	0.231	0.569	0.598	0.556	0.230	0.252	0.232	0.291	0.298	0.276	0.618	0.626	0.587	0.603	0.676	0.547	0.510	0.642	0.613	0.501	0.561
A10	0.366	0.327	0	0.321	0.317	0.408	0.316	0.338	0.352	0.355	0.710	0.343	0.324	0.349	0.366	0.493	0.454	0.565	0.501	0.547	0.589	0.487	0.334	0.459	0.544	0.537	0.319	0.337	0.331	0.319	0.311	0.342	0.533	0.544	0.548	0.556	0.628	0.511	0.504	0.586	0.581	0.519	0.502
A11	0.299	0.241	0.321	0	0.261	0.387	0.275	0.337	0.351	0.427	0.775	0.354	0.291	0.407	0.384	0.598	0.539	0.651	0.592	0.617	0.646	0.587	0.254	0.573	0.620	0.569	0.248	0.269	0.246	0.286	0.313	0.298	0.624	0.631	0.605	0.605	0.676	0.546	0.524	0.646	0.630	0.528	0.575
A12	0.305	0.255	0.317	0.261	0	0.407	0.264	0.322	0.369	0.409	0.752	0.356	0.283	0.403	0.378	0.575	0.526	0.641	0.569	0.609	0.615	0.584	0.249	0.557	0.584	0.564	0.248	0.258	0.258	0.290	0.289	0.302	0.612	0.622	0.579	0.587	0.678	0.530	0.491	0.629	0.621	0.482	0.542
A13	0.418	0.384	0.408	0.387	0.407	0	0.402	0.438	0.417	0.494	0.693	0.421	0.438	0.448	0.441	0.548	0.523	0.604	0.564	0.626	0.620	0.561	0.373	0.511	0.577	0.545	0.393	0.397	0.367	0.386	0.342	0.435	0.595	0.577	0.612	0.627	0.608	0.551	0.525	0.568	0.643	0.526	0.479
A14	0.319	0.269	0.316	0.275	0.264	0.402	0	0.339	0.366	0.395	0.764	0.347	0.276	0.404	0.366	0.570	0.509	0.623	0.577	0.596	0.613	0.561	0.265	0.540	0.583	0.557	0.277	0.273	0.288	0.289	0.299	0.292	0.596	0.606	0.589	0.614	0.667	0.544	0.500	0.619	0.618	0.521	0.556
A15	0.376	0.350	0.338	0.337	0.322	0.438	0.339	0	0.368	0.343	0.719	0.316	0.321	0.380	0.358	0.506	0.480	0.590	0.551	0.571	0.595	0.543	0.341	0.493	0.549	0.553	0.332	0.341	0.352	0.336	0.328	0.340	0.566	0.587	0.541	0.561	0.656	0.499	0.486	0.610	0.596	0.505	0.501
A16	0.396	0.367	0.352	0.351	0.369	0.417	0.366	0.368	0	0.425	0.720	0.374	0.360	0.431	0.430	0.546	0.527	0.612	0.572	0.596	0.616	0.587	0.362	0.534	0.586	0.546	0.339	0.359	0.360	0.367	0.373	0.354	0.605	0.622	0.615	0.612	0.662	0.541	0.540	0.642	0.647	0.571	0.554
A17	0.453	0.400	0.355	0.427	0.409	0.494	0.395	0.343	0.425	0	0.705	0.373	0.400	0.314	0.383	0.493	0.490	0.586	0.503	0.511	0.549	0.496	0.423	0.471	0.513	0.524	0.384	0.392	0.403	0.406	0.387	0.414	0.505	0.539	0.550	0.547	0.661	0.532	0.524	0.588	0.628	0.548	0.519
A18	0.785	0.783	0.710	0.775	0.752	0.693	0.764	0.719	0.720	0.705	0	0.719	0.760	0.660	0.722	0.582	0.593	0.574	0.623	0.671	0.633	0.648	0.765	0.640	0.678	0.687	0.756	0.745	0.759	0.752	0.715	0.788	0.595	0.640	0.699	0.693	0.740	0.715	0.725	0.655	0.716	0.774	0.678
A19	0.410	0.387	0.343	0.354	0.356	0.421	0.347	0.316	0.374	0.373	0.719	0	0.337	0.383	0.375	0.471	0.486	0.578	0.524	0.536	0.574	0.501	0.392	0.520	0.549	0.533	0.362	0.379	0.349	0.367	0.362	0.364	0.522	0.565	0.533	0.552	0.630	0.491	0.459	0.573	0.596	0.519	0.484
A2	0.333	0.282	0.324	0.291	0.283	0.438	0.276	0.321	0.360	0.400	0.760	0.337	0	0.404	0.380	0.564	0.528	0.611	0.556	0.604	0.622	0.577	0.282	0.535	0.586	0.575	0.282	0.291	0.299	0.298	0.328	0.317	0.589	0.639	0.571	0.580	0.661	0.530	0.513	0.610	0.608	0.505	0.549
A20	0.473	0.404	0.349	0.407	0.403	0.448	0.404	0.380	0.431	0.314	0.660	0.383	0.404	0	0.412	0.464	0.445	0.549	0.482	0.475	0.504	0.474	0.421	0.436	0.518	0.474	0.376	0.380	0.393	0.406	0.370	0.422	0.513	0.529	0.509	0.536	0.627	0.509	0.530	0.548	0.568	0.586	0.496
A21	0.431	0.373	0.366	0.384	0.378	0.441	0.366	0.358	0.430	0.383	0.722	0.375	0.380	0.412	0	0.493	0.502	0.568	0.516	0.536	0.585	0.496	0.379	0.522	0.552	0.511	0.376	0.369	0.358	0.394	0.347	0.385	0.553	0.560	0.582	0.585	0.690	0.522	0.509	0.604	0.636	0.546	0.519
A23	0.607	0.578	0.493	0.598	0.575	0.548	0.570	0.506	0.546	0.493	0.582	0.471	0.564	0.464	0.493	0	0.366	0.457	0.419	0.420	0.484	0.425	0.591	0.398	0.442	0.508	0.562	0.539	0.569	0.553	0.531	0.571	0.425	0.416	0.540	0.539	0.552	0.540	0.550	0.533	0.595	0.613	0.517
A24	0.570	0.551	0.454	0.539	0.526	0.523	0.509	0.480	0.527	0.490	0.593	0.486	0.528	0.445	0.502	0.366	0	0.470	0.441	0.458	0.460	0.430	0.549	0.390	0.449	0.490	0.538	0.529	0.543	0.521	0.496	0.528	0.481	0.472	0.558	0.542	0.610	0.533	0.534	0.519	0.579	0.621	0.524
A25	0.668	0.638	0.565	0.651	0.641	0.604	0.623	0.590	0.612	0.586	0.574	0.578	0.611	0.549	0.568	0.457	0.470	0	0.519	0.488	0.512	0.507	0.629	0.463	0.498	0.551	0.653	0.635	0.636	0.635	0.599	0.648	0.474	0.503	0.647	0.647	0.623	0.646	0.644	0.562	0.615	0.674	0.610
A26	0.607	0.579	0.501	0.592	0.569	0.564	0.577	0.551	0.572	0.503	0.623	0.524	0.556	0.482	0.516	0.419	0.441	0.519	0	0.448	0.516	0.464	0.579	0.451	0.473	0.554	0.565	0.550	0.557	0.556	0.532	0.554	0.498	0.495	0.578	0.562	0.640	0.583	0.592	0.525	0.592	0.624	0.560
A27	0.623	0.596	0.547	0.617	0.609	0.626	0.596	0.571	0.596	0.511	0.671	0.536	0.604	0.475	0.536	0.420	0.458	0.488	0.448	0	0.439	0.461	0.629	0.435	0.492	0.492	0.578	0.571	0.587	0.569	0.563	0.573	0.461	0.437	0.562	0.536	0.608	0.568	0.584	0.559	0.556	0.616	0.562
A28	0.653	0.642	0.589	0.646	0.615	0.620	0.613	0.595	0.616	0.549	0.633	0.574	0.622	0.504	0.585	0.484	0.460	0.512	0.516	0.439	0	0.441	0.638	0.437	0.505	0.479	0.614	0.630	0.631	0.595	0.607	0.619	0.485	0.474	0.533	0.528	0.609	0.555	0.574	0.564	0.520	0.654	0.552
A29	0.605	0.597	0.487	0.587	0.584	0.561	0.561	0.543	0.587	0.496	0.648	0.501	0.577	0.474	0.496	0.425	0.430	0.507	0.464	0.461	0.441	0	0.598	0.406	0.494	0.489	0.571	0.580	0.592	0.570	0.522	0.582	0.427	0.428	0.570	0.576	0.616	0.574	0.591	0.544	0.570	0.608	0.569
A3	0.274	0.231	0.334	0.254	0.249	0.373	0.265	0.341	0.362	0.423	0.765	0.392	0.282	0.421	0.379	0.591	0.549	0.629	0.579	0.629	0.638	0.598	0	0.563	0.610	0.585	0.243	0.273	0.251	0.283	0.305	0.303	0.617	0.640	0.609	0.601	0.681	0.550	0.521	0.631	0.619	0.491	0.556
A30	0.589	0.569	0.459	0.573	0.557	0.511	0.540	0.493	0.534	0.471	0.640	0.520	0.535	0.436	0.522	0.398	0.390	0.463	0.451	0.435	0.437	0.406	0.563	0	0.447	0.476	0.546	0.547	0.571	0.548	0.518	0.549	0.428	0.425	0.570	0.559	0.610	0.557	0.563	0.491	0.603	0.627	0.539
A32	0.626	0.598	0.544	0.620	0.584	0.577	0.583	0.549	0.586	0.513	0.678	0.549	0.586	0.518	0.552	0.442	0.449	0.498	0.473	0.492	0.505	0.494	0.610	0.447	0	0.495	0.589	0.589	0.592	0.578	0.539	0.589	0.473	0.475	0.621	0.597	0.632	0.597	0.596	0.551	0.618	0.609	0.541
